t,ActivePower,Y(t-1),WindSpeed
77,1011.465908,1069.365792,7.372844189
78,925.0960753,1011.465908,6.851394526
79,790.7513306,925.0960753,7.124466389
80,549.5779026,790.7513306,6.006594632
81,291.0371142,549.5779026,4.991447132
82,231.4900444,291.0371142,4.853833144
83,190.1991468,231.4900444,4.303341942
84,217.96172,190.1991468,4.649815605
85,267.9007022,217.96172,5.012905378
86,307.4818628,267.9007022,5.151555389
87,265.6447617,307.4818628,5.121788739
88,399.0548495,265.6447617,5.492878711
89,191.7646582,399.0548495,4.353426111
90,263.3597512,191.7646582,4.835635153
91,377.9729484,263.3597512,5.474826011
92,363.5581172,377.9729484,5.275260939
93,516.8709347,363.5581172,6.076489274
94,451.3199606,516.8709347,5.366544311
95,585.1799233,451.3199606,6.494588761
96,579.7993442,585.1799233,6.152647184
97,526.9344153,579.7993442,5.821317424
98,409.1684339,526.9344153,5.507860906
99,482.9866859,409.1684339,5.78524985
100,514.4857342,482.9866859,5.761347179
101,469.5087006,514.4857342,5.705688706
102,625.9263053,469.5087006,6.207557726
103,583.7796039,625.9263053,6.097972061
104,802.3575695,583.7796039,6.7763497
105,902.1290811,802.3575695,7.039288578
106,650.1046147,902.1290811,6.111915595
107,687.1646226,650.1046147,6.565226111
108,695.7378067,687.1646226,6.60292195
109,816.9061168,695.7378067,6.983457653
110,719.8740517,816.9061168,6.520794211
111,520.7481006,719.8740517,6.134561
112,359.7001994,520.7481006,5.245110928
113,236.2469174,359.7001994,4.617899853
114,174.9754132,236.2469174,4.224762989
115,243.7070388,174.9754132,4.711929294
116,192.4155514,243.7070388,4.397799837
117,198.0180983,192.4155514,4.320144267
118,127.8464612,198.0180983,3.980578747
119,230.2564153,127.8464612,4.734427567
120,154.0449791,230.2564153,4.092536684
121,117.630514,154.0449791,4.181838694
122,110.7364086,117.630514,3.9382221
123,237.1965389,110.7364086,4.649605356
124,92.04911627,237.1965389,3.675841979
125,134.1393012,92.04911627,3.840052505
126,2.848141489,134.1393012,3.044222094
127,20.84423453,2.848141489,3.649119815
128,-8.453284742,20.84423453,2.657068289
129,-4.073336187,-8.453284742,3.285681088
130,-8.303682694,-4.073336187,3.00319435
131,6.5895535,-8.303682694,3.116849844
132,21.8002002,6.5895535,3.057227644
133,-8.368827226,21.8002002,3.347299875
